reference_id,ref_hotel_name,hotel_id,hotel_name,room_name
20,"Domes Zeen, a Luxury Collection Resort, Kreta",1472184,"Domes Zeen, a Luxury Collection Resort, Kreta","Superior Raw Mezzanine,2 Twin Beds,NonSmoking"
20,"Domes Zeen, a Luxury Collection Resort, Kreta",1472184,"Domes Zeen, a Luxury Collection Resort, Kreta","Terraced Penthouse,1 Queen Bed,NonSmoking"
20,"Domes Zeen, a Luxury Collection Resort, Kreta",1472184,"Domes Zeen, a Luxury Collection Resort, Kreta","Terraced Penthouse,2 Twin Beds,NonSmoking"
20,"Domes Zeen, a Luxury Collection Resort, Kreta",1472184,"Domes Zeen, a Luxury Collection Resort, Kreta","Hillside Retreat,1 King Bed,NonSmoking"
20,"Domes Zeen, a Luxury Collection Resort, Kreta",1472184,"Domes Zeen, a Luxury Collection Resort, Kreta","Superior Raw Retreat with Pool,1 Queen Bed,NonSmoking"
20,"Domes Zeen, a Luxury Collection Resort, Kreta",1472184,"Domes Zeen, a Luxury Collection Resort, Kreta","Superior Raw Retreat with Pool,2 Twin Beds,NonSmoking"
32,"The Laguna, A Luxury Collection Resort & Spa",1174974,"The Laguna, A Luxury Collection Resort & Spa","Room, 2 Double Beds, Non Smoking, Garden View"
32,"The Laguna, A Luxury Collection Resort & Spa",1174974,"The Laguna, A Luxury Collection Resort & Spa","Room, 2 Double Beds, Non Smoking, Garden View"
32,"The Laguna, A Luxury Collection Resort & Spa",1174974,"The Laguna, A Luxury Collection Resort & Spa","Room, 1 King Bed, Non Smoking, Garden View"
32,"The Laguna, A Luxury Collection Resort & Spa",1174974,"The Laguna, A Luxury Collection Resort & Spa","Room, 2 Double Beds, Non Smoking, Lagoon View"
32,"The Laguna, A Luxury Collection Resort & Spa",1174974,"The Laguna, A Luxury Collection Resort & Spa","Room, 1 King Bed, Non Smoking, Lagoon View"
48,"The Datai, Malezja",1179849,"The Datai, Malezja","Canopy Deluxe,1 King Bed,NonSmoking"
48,"The Datai, Malezja",1179849,"The Datai, Malezja","Canopy Deluxe,2 Twin Beds,NonSmoking"
48,"The Datai, Malezja",1179849,"The Datai, Malezja","Canopy Deluxe,1 King Bed,NonSmoking"
48,"The Datai, Malezja",1179849,"The Datai, Malezja","Canopy Deluxe,2 Twin Beds,NonSmoking"
48,"The Datai, Malezja",1179849,"The Datai, Malezja","Canopy Premium,1 King Bed,NonSmoking"
48,"The Datai, Malezja",1179849,"The Datai, Malezja","Canopy Deluxe,1 King Bed,NonSmoking"
48,"The Datai, Malezja",1179849,"The Datai, Malezja","Canopy Deluxe,2 Twin Beds,NonSmoking"
48,"The Datai, Malezja",1179849,"The Datai, Malezja","Canopy Premium,1 King Bed,NonSmoking"
49,"Four Seasons Marakesh, Maroko",1365747,"Four Seasons Marakesh, Maroko","Room, Terrace, Garden View,2 Twin Beds,NonSmoking"
49,"Four Seasons Marakesh, Maroko",1365747,"Four Seasons Marakesh, Maroko","Garden View Terrace Room King,1 King Bed,NonSmoking"
49,"Four Seasons Marakesh, Maroko",1365747,"Four Seasons Marakesh, Maroko","Premier Garden-View Terrace Room King,1 King Bed,NonSmoking"
49,"Four Seasons Marakesh, Maroko",1365747,"Four Seasons Marakesh, Maroko","Premier Room, Terrace, Garden View,2 Twin Beds,NonSmoking"
49,"Four Seasons Marakesh, Maroko",1365747,"Four Seasons Marakesh, Maroko","Garden Patio Room King,1 King Bed,NonSmoking"
54,One & Only Le Saint Geran,1146556,One & Only Le Saint Geran,"Room (Lagoon Room),1 King Bed and 1 Double Sofa Bed,NonSmoking"
54,One & Only Le Saint Geran,1146556,One & Only Le Saint Geran,"Room (Ocean Room Balcony King),1 King Bed,NonSmoking"
54,One & Only Le Saint Geran,1146556,One & Only Le Saint Geran,"Room (Ocean Room Balcony Queen),2 Queen Beds,NonSmoking"
54,One & Only Le Saint Geran,1146556,One & Only Le Saint Geran,"Room (Ocean Room Terrace Queen),2 Queen Beds,NonSmoking"
54,One & Only Le Saint Geran,1146556,One & Only Le Saint Geran,"Room (Beach Front Balcony King),1 King Bed,NonSmoking"
35,Movenpick Resort Kuredhivaru Maldives,1030703,Movenpick Resort Kuredhivaru Maldives,"Superior Room, 1 King Bed,NonSmoking"
35,Movenpick Resort Kuredhivaru Maldives,1030703,Movenpick Resort Kuredhivaru Maldives,"Superior Twin Room, 2 Twin Beds,NonSmoking"
35,Movenpick Resort Kuredhivaru Maldives,1030703,Movenpick Resort Kuredhivaru Maldives,"Superior Room, 1 King Bed,NonSmoking"
35,Movenpick Resort Kuredhivaru Maldives,1030703,Movenpick Resort Kuredhivaru Maldives,"Superior Twin Room, 2 Twin Beds,NonSmoking"
35,Movenpick Resort Kuredhivaru Maldives,1030703,Movenpick Resort Kuredhivaru Maldives,"Executive Room, 1 King Bed,NonSmoking"
42,Waldorf Astoria Maldives Ithaafushi,1295229,Waldorf Astoria Maldives Ithaafushi,"Room, 1 King Bed, City View,NonSmoking"
42,Waldorf Astoria Maldives Ithaafushi,1295229,Waldorf Astoria Maldives Ithaafushi,"Room, 1 King Bed, Accessible, City View (Hearing and Mobility, Roll-in Shower),NonSmoking"
42,Waldorf Astoria Maldives Ithaafushi,1295229,Waldorf Astoria Maldives Ithaafushi,"Room, 1 King Bed (Strip View),NonSmoking"
42,Waldorf Astoria Maldives Ithaafushi,1295229,Waldorf Astoria Maldives Ithaafushi,"Room, 1 King Bed, Accessible (Strip View, Roll-in Shower),NonSmoking"
42,Waldorf Astoria Maldives Ithaafushi,1295229,Waldorf Astoria Maldives Ithaafushi,"Room, 1 King Bed, City View,NonSmoking"
44,One & Only Reethi Rah,1146556,One & Only Reethi Rah,"Room (Lagoon Room),1 King Bed and 1 Double Sofa Bed,NonSmoking"
44,One & Only Reethi Rah,1146556,One & Only Reethi Rah,"Room (Ocean Room Balcony King),1 King Bed,NonSmoking"
44,One & Only Reethi Rah,1146556,One & Only Reethi Rah,"Room (Ocean Room Balcony Queen),2 Queen Beds,NonSmoking"
44,One & Only Reethi Rah,1146556,One & Only Reethi Rah,"Room (Ocean Room Terrace Queen),2 Queen Beds,NonSmoking"
44,One & Only Reethi Rah,1146556,One & Only Reethi Rah,"Room (Beach Front Balcony King),1 King Bed,NonSmoking"
47,Four Seasons Langkawi,1033321,Four Seasons Langkawi,"Room, 2 Twin Beds, Garden View, Ground Floor,NonSmoking"
47,Four Seasons Langkawi,1033321,Four Seasons Langkawi,"Room, Garden View (Upper Floor),1 King Bed,NonSmoking"
47,Four Seasons Langkawi,1033321,Four Seasons Langkawi,"Room, 2 Twin Beds, Garden View, Ground Floor,NonSmoking"
47,Four Seasons Langkawi,1033321,Four Seasons Langkawi,"Room, Garden View (Upper Floor),1 King Bed,NonSmoking"
47,Four Seasons Langkawi,1033321,Four Seasons Langkawi,"Room, Partial Sea View, Ground Floor,1 King Bed,NonSmoking"
55,"Belmond Reid's Palace, Portugalia",1160470,"Belmond Reid's Palace, Portugalia","Junior Suite (Superior),1 Queen Bed,NonSmoking"
55,"Belmond Reid's Palace, Portugalia",1160470,"Belmond Reid's Palace, Portugalia","Junior Suite (Superior),2 Twin Beds,NonSmoking"
55,"Belmond Reid's Palace, Portugalia",1160470,"Belmond Reid's Palace, Portugalia","Suite (Matthew Williamson),1 Double Sofa Bed and 1 King Bed,NonSmoking"
55,"Belmond Reid's Palace, Portugalia",1160470,"Belmond Reid's Palace, Portugalia","Suite (Miro),1 King Bed,NonSmoking"
74,"Regnum Carya Golf & Spa Resort, Turcja",1016614,"Regnum Carya Golf & Spa Resort, Turcja","Jade Room Partial Sea View,1 Double Bed,NonSmoking"
