reference_id,ref_hotel_name,hotel_id,hotel_name,room_name,main_name,bedrooms_count,room_capacity,room_quality,room_quality_category,room_class,bedding_type,bedding_config,balcony,family_room,club_room,room_view,room_area_m2,room_area_sqft
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,Deluxe Bungalow Sea View 1st Floor,Deluxe Bungalow Sea View 1st Floor,,,deluxe,high,bungalow,,,,,,sea_view,,
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,Deluxe Guestroom Sea View,Deluxe Guestroom Sea View,,,deluxe,high,room,,,,,,sea_view,,
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,Panoramic Guestroom Sea View,Panoramic Guestroom Sea View,,,,,room,,,,,,sea_view,,
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,Deluxe Bungalow Sea View 1st Floor,Deluxe Bungalow Sea View 1st Floor,,,deluxe,high,bungalow,,,,,,sea_view,,
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,Deluxe Guestroom Sea View,Deluxe Guestroom Sea View,,,deluxe,high,room,,,,,,sea_view,,
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,Deluxe Bungalow Sea View 1st Floor,Deluxe Bungalow Sea View 1st Floor,,,deluxe,high,bungalow,,,,,,sea_view,,
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,Deluxe Guestroom Sea View,Deluxe Guestroom Sea View,,,deluxe,high,room,,,,,,sea_view,,
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,Panoramic Guestroom Sea View,Panoramic Guestroom Sea View,,,,,room,,,,,,sea_view,,
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,Deluxe Bungalow Sea View 1st Floor,Deluxe Bungalow Sea View 1st Floor,,,deluxe,high,bungalow,,,,,,sea_view,,
16,Grecotel Corfu Imperial,1145211,Grecotel Corfu Imperial,Deluxe Guestroom Sea View,Deluxe Guestroom Sea View,,,deluxe,high,room,,,,,,sea_view,,
17,Angsana Corfu Resort,1144457,Angsana Corfu Resort,"Achilleion Woodland View Grand Room - Twin,2 Twin Beds,NonSmoking",Achilleion Woodland View Grand Room - Twin,,,grand,luxury,room,2 twin beds,twins,,,,woodland_view,,
17,Angsana Corfu Resort,1144457,Angsana Corfu Resort,"Achilleion Woodland View Grand Room - Twin,2 Twin Beds,NonSmoking",Achilleion Woodland View Grand Room - Twin,,,grand,luxury,room,2 twin beds,twins,,,,woodland_view,,
17,Angsana Corfu Resort,1144457,Angsana Corfu Resort,"Achilleion Woodland View Grand Room - Twin,2 Twin Beds,NonSmoking",Achilleion Woodland View Grand Room - Twin,,,grand,luxury,room,2 twin beds,twins,,,,woodland_view,,
17,Angsana Corfu Resort,1144457,Angsana Corfu Resort,"Benitses Bay View Grand Room,1 King Bed,NonSmoking",Benitses Bay View Grand Room,,,grand,luxury,room,1 king bed,king,,,,bay_view,,
17,Angsana Corfu Resort,1144457,Angsana Corfu Resort,"Ionian Sea View One Bedroom Suite,1 King Bed and 1 King Sofa Bed,NonSmoking",Ionian Sea View One Bedroom Suite,1.0,,,,suite,1 king bed,king,,,,sea_view,,
20,"Domes Zeen, a Luxury Collection Resort, Kreta",1472184,"Domes Zeen, a Luxury Collection Resort, Kreta","Superior Raw Retreat,1 Queen Bed,NonSmoking",Superior Raw Retreat,,,superior,enhanced,other,1 queen bed,queen,,,,,,
20,"Domes Zeen, a Luxury Collection Resort, Kreta",1472184,"Domes Zeen, a Luxury Collection Resort, Kreta","Superior Raw Retreat,2 Twin Beds,NonSmoking",Superior Raw Retreat,,,superior,enhanced,other,2 twin beds,twins,,,,,,
20,"Domes Zeen, a Luxury Collection Resort, Kreta",1472184,"Domes Zeen, a Luxury Collection Resort, Kreta","Superior Raw Mezzanine,1 Queen Bed,NonSmoking",Superior Raw Mezzanine,,,superior,enhanced,other,1 queen bed,queen,,,,,,
20,"Domes Zeen, a Luxury Collection Resort, Kreta",1472184,"Domes Zeen, a Luxury Collection Resort, Kreta","Superior Raw Mezzanine,2 Twin Beds,NonSmoking",Superior Raw Mezzanine,,,superior,enhanced,other,2 twin beds,twins,,,,,,
20,"Domes Zeen, a Luxury Collection Resort, Kreta",1472184,"Domes Zeen, a Luxury Collection Resort, Kreta","Terraced Penthouse,1 Queen Bed,NonSmoking",Terraced Penthouse,,,,,penthouse,1 queen bed,queen,1.0,,,,,
20,"Domes Zeen, a Luxury Collection Resort, Kreta",1472184,"Domes Zeen, a Luxury Collection Resort, Kreta","Terraced Penthouse,2 Twin Beds,NonSmoking",Terraced Penthouse,,,,,penthouse,2 twin beds,twins,1.0,,,,,
20,"Domes Zeen, a Luxury Collection Resort, Kreta",1472184,"Domes Zeen, a Luxury Collection Resort, Kreta","Hillside Retreat,1 King Bed,NonSmoking",Hillside Retreat,,,,,other,1 king bed,king,,,,,,
20,"Domes Zeen, a Luxury Collection Resort, Kreta",1472184,"Domes Zeen, a Luxury Collection Resort, Kreta","Superior Raw Retreat with Pool,1 Queen Bed,NonSmoking",Superior Raw Retreat with Pool,,,superior,enhanced,other,1 queen bed,queen,,,,,,
